Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
 TC05 - Update Treatment - All fields must not be blank.,N3NJS1804-183,10334,TESTCASE,To Do,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,15/Jul/24 5:29 PM,17/Jul/24 9:51 AM,20/Jul/24 9:39 AM,,,0,,,, TC05 - Update Treatment - All fields must not be blank.,,Tran Nhat Hoang (K17 HCM),,712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,,,,,,,,,,N3NJS1804-130,,,15/Jul/24 5:33 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103810.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10239,15/Jul/24 5:33 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103923.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10238,15/Jul/24 5:33 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-15 173111.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10240,,,,,,,"When you press ""Create"" Button, it will show messages: ""ID must be at least 1"", ""Name is required"", ""Description is required"" and ""Price must be at least 1"".",,,,,,{},,N3NJS1804-127,Treatment Management,,,"When you press ""Create"" Button, it will show messages: ""ID must be at least 1"", ""Name is required"", ""Description is required"" and ""Price must be at least 1"".",,,,,0|i001x3:,,,,,N3NJS180 Sprint 2,,,,,,,,,"1. Input Email ""abc@gmail.com"" or phone number ""0762123411"" and Password: ""password"" to Login
2. Login success and go to Admin Page
3. In Admin Page go to Treatment and enter ""Add new Treatment"".
4. Not enter anything into all input field.",,,,,,,,,,,,,,,,,,,,,,,,10278,Treatment Management,To Do,15/Jul/24 5:29 PM
TC04 - Update Treatement - Treatment Name must not be blank,N3NJS1804-182,10333,TESTCASE,To Do,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,15/Jul/24 5:08 PM,17/Jul/24 9:50 AM,20/Jul/24 9:39 AM,,,0,,,,TC04 - Update Treatement - Treatment Name must not be blank,,Tran Nhat Hoang (K17 HCM),,712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,,,,,,,,,,N3NJS1804-130,,,15/Jul/24 5:20 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103810.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10236,15/Jul/24 5:20 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103923.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10235,15/Jul/24 5:20 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-15 171202.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10237,,,,,,,"It will show a message ""Name is required"" when you press ""Create"" button.",,,,,,{},,N3NJS1804-127,Treatment Management,,,"It will show a message ""Name is required"" when you press ""Create"" button.",,,,,0|i001wv:,,,,,N3NJS180 Sprint 2,,,,,,,,,"1. Input Email ""abc@gmail.com"" or phone number ""0762123411"" and Password: ""password"" to Login
2. Login success and go to Admin Page
3. In Admin Page go to Treatment and enter ""Add new Treatment"".
4. Not enter name into treatment Name field.",,,,,,,,,,,,,,,,,,,,,,,,10278,Treatment Management,To Do,15/Jul/24 5:08 PM
TC03 - Update Treatement - Treatment Cost must higher than 1,N3NJS1804-181,10332,TESTCASE,To Do,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,15/Jul/24 4:56 PM,17/Jul/24 9:49 AM,20/Jul/24 9:39 AM,,,0,,,,TC03 - Update Treatement - Treatment Cost must higher than 1,,Tran Nhat Hoang (K17 HCM),,712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,,,,,,,,,,N3NJS1804-130,,,15/Jul/24 5:04 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103810.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10233,15/Jul/24 5:04 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103923.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10232,15/Jul/24 5:04 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-15 165822.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10234,,,,,,,"It will show a message ""Price must be at least 1""",,,,,,{},,N3NJS1804-127,Treatment Management,,,"It will show a message ""Price must be at least 1""",,,,,0|i001wn:,,,,,N3NJS180 Sprint 2,,,,,,,,,"1. Input Email ""abc@gmail.com"" or phone number ""0762123411"" and Password: ""password"" to Login
2. Login success and go to Admin Page
3. In Admin Page go to Treatment and enter ""Add new Treatment"".
4. .Enter number 1 into Treatment Cost field.",,,,,,,,,,,,,,,,,,,,,,,,10278,Treatment Management,To Do,15/Jul/24 4:56 PM
 TC02 - Update Treatment - Description must not be blank.,N3NJS1804-180,10331,TESTCASE,To Do,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,13/Jul/24 10:43 AM,17/Jul/24 9:49 AM,20/Jul/24 9:39 AM,,,0,,,, TC02 - Update Treatment - Description must not be blank.,,Tran Nhat Hoang (K17 HCM),,712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,,,,,,,,,,N3NJS1804-130,,,15/Jul/24 4:44 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103810.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10230,15/Jul/24 4:44 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103923.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10229,15/Jul/24 4:44 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-15 164407.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10231,,,,,,,"It will show message ""Description is required"".",,,,,,{},,N3NJS1804-127,Treatment Management,,,"It will show message ""Description is required"".",,,,,0|i001wf:,,,,,N3NJS180 Sprint 2,,,,,,,,,"1. Input Email ""abc@gmail.com"" or phone number ""0762123411"" and Password: ""password"" to Login
2. Login success and go to Admin Page
3. In Admin Page go to Treatment and enter ""Add new Treatment"".
4. Not enter enything to Description field.",,,,,,,,,,,,,,,,,,,,,,,,10278,Treatment Management,To Do,13/Jul/24 10:43 AM
TC01 - Update Treatment - Treatment ID must be in right format,N3NJS1804-179,10330,TESTCASE,To Do,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,13/Jul/24 10:23 AM,17/Jul/24 9:49 AM,20/Jul/24 9:39 AM,,,0,,,,AB03 - Update Treatment - Treatment ID must be at least 1,,Tran Nhat Hoang (K17 HCM),,712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,,,,,,,,,,N3NJS1804-130,,,13/Jul/24 10:37 AM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 102950.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10226,13/Jul/24 10:38 AM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103810.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10227,13/Jul/24 10:39 AM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103923.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10228,,,,,,,"1. If you enter 0 into the field, it will show a message ""ID must be at least 1""
2. If you enter a character into the field, it will show a message ""Expected number, received nan""",,,,,,{},,N3NJS1804-127,Treatment Management,,,"1. If you enter 0 into the field, it will show a message ""ID must be at least 1""
2. If you enter a character into the field, it will show a message ""Expected number, received nan""",,,,,0|i001w7:,,,,,N3NJS180 Sprint 2,,,,,,,,,"1. Input Email ""abc@gmail.com"" or phone number ""0762123411"" and Password: ""password"" to Login.
2. Login success and go to Admin Page.
3. In Admin Page go to Treatment Page and press ""Add new treatment"".
4. Enter number 0 into Branch ID field or enter a character.",,,,,,,,,,,,,,,,,,,,,,,,10278,Treatment Management,To Do,13/Jul/24 10:23 AM
UA09.FE - Medical Record (Patient only) - Upload file not in appropriate format cannot be accepted,N3NJS1804-178,10329,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 2:02 AM,13/Jul/24 10:33 AM,20/Jul/24 9:39 AM,13/Jul/24 10:33 AM,,0,FILE_PICKER,MEDICAL_RECORD,PROFILE,"UA09.FE - Medical Record (Patient only) - Upload file not in appropriate format cannot be accepted

Allowed file format: {{jpeg, jpg, png, gif, tiff, pdf, doc, docx, txt, csv, zip, tar, gz, rar}}",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 10:33 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA09.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10225,13/Jul/24 10:33 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA09.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10224,,,,,,,,"An error message ""Only image (jpeg, jpg, png, gif, tiff), pdf, doc, docx, txt, csv, zip, tar, gz, rar formats are supported."" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"An error message ""Only image (jpeg, jpg, png, gif, tiff), pdf, doc, docx, txt, csv, zip, tar, gz, rar formats are supported."" should be shown",,,,,0|i001vz:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as Patient
2. Click Avatar on Header. On dropdown menu => Settings => Medical Record
3. Upload a file not in the right format (defined in Description)",Pass,,,,3_*:*_1_*:*_30577614_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_67306,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 10:33 AM
UA08.FE - Medical Record (Patient only) - Upload file larger than 5MB cannot be accepted,N3NJS1804-177,10328,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 2:00 AM,13/Jul/24 10:31 AM,20/Jul/24 9:39 AM,13/Jul/24 10:31 AM,,0,FILE_PICKER,MEDICAL_RECORD,PROFILE,UA08.FE - Medical Record (Patient only) - Upload file larger than 5MB cannot be accepted,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 10:31 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA08.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10223,13/Jul/24 10:31 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA08.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10222,,,,,,,,"An error message ""Max file size is 5MB."" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"An error message ""Max file size is 5MB."" should be shown",,,,,0|i001vr:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as Patient
2. Click Avatar on Header. On dropdown menu => Settings => Medical Record
3. Upload a file larger than 5MB",Pass,,,,3_*:*_1_*:*_30391319_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_281196,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 10:31 AM
UA07.FE - Medical Record (Patient only) - Upload file successfully,N3NJS1804-176,10327,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 1:51 AM,13/Jul/24 10:32 AM,20/Jul/24 9:39 AM,13/Jul/24 10:29 AM,,0,FILE_PICKER,MEDICAL_RECORD,PROFILE,"UA07.FE - Medical Record (Patient only) - Upload file successfully

Allowed file format: {{jpeg, jpg, png, gif, tiff, pdf, doc, docx, txt, csv, zip, tar, gz, rar}}",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 10:28 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA07.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10220,13/Jul/24 10:28 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA07.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10221,,,,,,,,"A successful message ""Upload successfully!"" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"A successful message ""Upload successfully!"" should be shown",,,,,0|i001vj:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as Patient
2. Click Avatar on Header. On dropdown menu => Settings => Medical Record
3. Upload a file under 5MB and right file format (defined in Description)",Pass,,,,3_*:*_1_*:*_30548788_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_533865,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 10:29 AM
UA06.FE - Change Password - Password changing successfully,N3NJS1804-175,10326,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 1:38 AM,13/Jul/24 1:54 AM,20/Jul/24 9:39 AM,13/Jul/24 1:40 AM,,0,CHANGE_PASSWORD,PROFILE,,UA06.FE - Change Password - Password changing successfully,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 1:39 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA06.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10219,13/Jul/24 1:39 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA06.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10218,,,,,,,,"A successful message ""Change password successfully!"" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"A successful message ""Change password successfully!"" should be shown",,,,,0|i001vb:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as any role (Dentist as example)
2. Click Avatar on Header. On dropdown menu => Settings => Account
3. Enter right old password, enter valid new password",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_98740,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 1:40 AM
UA05.FE - Change Password - Invalid password cannot be accepted,N3NJS1804-174,10325,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 1:36 AM,13/Jul/24 1:51 AM,20/Jul/24 9:39 AM,13/Jul/24 1:38 AM,,0,CHANGE_PASSWORD,PROFILE,,UA05.FE - Change Password - Invalid password cannot be accepted,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 1:37 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA05.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10217,,,,,,,,,"An error message ""Old password is not valid"" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"An error message ""Old password is not valid"" should be shown",,,,,0|i001v3:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as any role (Dentist as example)
2. Click Avatar on Header. On dropdown menu => Settings => Account
3. Enter wrong password (in attachment UA05)",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_123105,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 1:38 AM
UA04.FE - Public Profile - Update profile successfully,N3NJS1804-173,10324,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 1:26 AM,13/Jul/24 1:38 AM,20/Jul/24 9:39 AM,13/Jul/24 1:28 AM,,0,PROFILE,,,UA04.FE - Public Profile - Update profile successfully,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 1:27 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA04.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10216,,,,,,,,,"1. The email field is disabled
2. A successful message ""Update successfully!"" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"1. The email field should be disabled
2. A successful message ""Update successfully!"" should be shown",,,,,0|i001uv:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as any role (Dentist as example)
2. Click Avatar on Header. On dropdown menu => Settings
3. Enter date of birth and click ""Update profile"" button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_130270,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 1:28 AM
UA03.FE - Public Profile - Upload avatar not in image format cannot be accepted,N3NJS1804-172,10323,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 1:22 AM,13/Jul/24 1:28 AM,20/Jul/24 9:39 AM,13/Jul/24 1:24 AM,,0,IMAGE_PICKER,PROFILE,,UA03.FE - Public Profile - Upload avatar not in image format cannot be accepted,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 1:24 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA03.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10215,13/Jul/24 1:24 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA03.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10214,,,,,,,,"An error message ""Only .jpg, .jpeg, .png and .gif formats are supported."" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"An error message ""Only .jpg, .jpeg, .png and .gif formats are supported."" should be shown",,,,,0|i001un:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as any role (Dentist as example)
2. Click Avatar on Header. On dropdown menu => Settings
3. Upload other format of image (pdf as example)",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_156866,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 1:24 AM
UA02.FE - Public Profile - Upload avatar larger than 1MB cannot be accepted,N3NJS1804-171,10322,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 1:18 AM,13/Jul/24 1:24 AM,20/Jul/24 9:39 AM,13/Jul/24 1:22 AM,,0,IMAGE_PICKER,PROFILE,,UA02.FE - Public Profile - Upload avatar larger than 1MB cannot be accepted,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 1:21 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA02.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10212,13/Jul/24 1:21 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA02.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10213,,,,,,,,"An error message ""Max image size is 1MB."" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"An error message ""Max image size is 1MB."" should be shown",,,,,0|i001uf:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as any role (Dentist as example)
2. Click Avatar on Header. On dropdown menu => Settings
3. Upload avatar larger than 1MB",Pass,,,,3_*:*_1_*:*_202577_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_19731,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 1:22 AM
UA01.FE - Public Profile - Upload avatar successfully,N3NJS1804-170,10321,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,13/Jul/24 12:53 AM,13/Jul/24 1:19 AM,20/Jul/24 9:39 AM,13/Jul/24 12:58 AM,,0,IMAGE_PICKER,PROFILE,,UA01.FE - Public Profile - Upload avatar successfully,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-117,13/Jul/24 12:56 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA01.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10206,13/Jul/24 12:56 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA01.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10207,13/Jul/24 12:56 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UA01.3.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10208,,,,,,,"A successful message ""Upload successfully!"" is shown",,,,,,{},,N3NJS1804-114,User Management,,,"A successful message ""Upload successfully!"" should be shown",,,,,0|i001u7:,,,,,N3NJS180 Sprint 2,,,,,,,,Unit,"1. Login as any role (Dentist as example)
2. Click Avatar on Header. On dropdown menu => Settings
3. Upload avatar less than 1MB and right format image (.jpg, .jpeg, .png, .gif)",Pass,,,,3_*:*_1_*:*_246365_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_31610,,,,,,,,,,,,,,,,,,,10265,User Management,Done,13/Jul/24 12:58 AM
